task id,run #,constrained,linear,graph,random graph,random linear,random constrained
2073,0,0.67114094,0.711409396,0.704697987,0.724832215,0.691275168,0.718120805
2073,1,0.704697987,0.704697987,0.677852349,0.691275168,0.697986577,0.691275168
2073,2,0.66442953,0.704697987,0.697986577,0.697986577,0.731543624,0.66442953
2073,3,0.724832215,0.711409396,0.711409396,0.718120805,0.677852349,0.697986577
2073,4,0.691275168,0.677852349,0.718120805,0.711409396,0.691275168,0.677852349
2073,5,0.718120805,0.704697987,0.691275168,0.697986577,0.718120805,0.697986577
2073,6,0.738255034,0.691275168,0.704697987,0.697986577,0.677852349,0.711409396
2073,7,0.711409396,0.630872483,0.570469799,0.711409396,0.711409396,0.677852349
2073,8,0.67114094,0.724832215,0.684563758,0.704697987,0.697986577,0.718120805
2073,9,0.704697987,0.697986577,0.697986577,0.697986577,0.724832215,0.657718121
2073,10,0.704697987,0.711409396,0.704697987,0.697986577,0.67114094,0.711409396
2073,11,0.711409396,0.704697987,0.704697987,0.697986577,0.704697987,0.677852349
2073,12,0.677852349,0.704697987,0.67114094,0.691275168,0.691275168,0.704697987
2073,13,0.684563758,0.677852349,0.704697987,0.704697987,0.691275168,0.697986577
2073,14,0.697986577,0.697986577,0.738255034,0.704697987,0.704697987,0.691275168
168784,1,0.851282051,0.830769231,0.815384615,0.805128205,0.815384615,0.81025641
168784,2,0.835897436,0.8,0.820512821,0.830769231,0.78974359,0.461538462
168784,3,0.825641026,0.825641026,0.830769231,0.825641026,0.805128205,0.815384615
168784,4,0.820512821,0.81025641,0.825641026,0.805128205,0.825641026,0.81025641
168784,5,0.815384615,0.794871795,0.78974359,0.815384615,0.81025641,0.830769231
168784,6,0.825641026,0.8,0.794871795,0.830769231,0.81025641,0.835897436
168784,7,0.830769231,0.820512821,0.815384615,0.830769231,0.835897436,0.846153846
168784,8,0.815384615,0.8,0.815384615,0.78974359,0.81025641,0.830769231
168784,9,0.815384615,0.820512821,0.835897436,0.835897436,0.835897436,0.81025641
168784,10,0.820512821,0.81025641,0.8,0.835897436,0.815384615,0.841025641
168784,11,0.825641026,0.820512821,0.815384615,0.830769231,0.841025641,0.815384615
168784,12,0.820512821,0.841025641,0.820512821,0.805128205,0.815384615,0.851282051
168784,13,0.825641026,0.841025641,0.830769231,0.835897436,0.805128205,0.825641026
190146,0,0.870588235,0.847058824,0.858823529,0.870588235,0.870588235,0.858823529
190146,1,0.882352941,0.894117647,0.858823529,0.870588235,0.870588235,0.870588235
190146,2,0.882352941,0.870588235,0.847058824,0.870588235,0.858823529,0.870588235
190146,3,0.894117647,0.905882353,0.870588235,0.870588235,0.858823529,0.870588235
190146,4,0.870588235,0.870588235,0.905882353,0.858823529,0.894117647,0.858823529
190146,5,0.882352941,0.870588235,0.870588235,0.858823529,0.858823529,0.858823529
190146,6,0.882352941,0.870588235,0.858823529,0.870588235,0.882352941,0.870588235
190146,7,0.870588235,0.870588235,0.870588235,0.870588235,0.870588235,0.870588235
190146,8,0.870588235,0.894117647,0.870588235,0.870588235,0.858823529,0.870588235
190146,9,0.870588235,0.905882353,0.870588235,0.870588235,0.847058824,0.870588235
190146,10,0.870588235,0.870588235,0.870588235,0.870588235,0.870588235,0.870588235
190146,11,0.882352941,0.870588235,0.835294118,0.870588235,0.858823529,0.858823529
190146,12,0.894117647,0.882352941,0.847058824,0.870588235,0.870588235,0.870588235
190146,13,0.870588235,0.870588235,0.882352941,0.870588235,0.858823529,0.858823529
190146,14,0.870588235,0.882352941,0.870588235,0.870588235,0.858823529,0.858823529
359954,0,0.662162162,0.702702703,0.648648649,0.689189189,0.635135135,0.675675676
359954,1,0.635135135,0.702702703,0.662162162,0.689189189,0.648648649,0.675675676
359954,2,0.635135135,0.662162162,0.648648649,0.675675676,0.675675676,0.689189189
359954,3,0.689189189,0.702702703,0.675675676,0.716216216,0.648648649,0.648648649
359954,4,0.675675676,0.702702703,0.77027027,0.675675676,0.716216216,0.621621622
359954,5,0.716216216,0.662162162,0.581081081,0.716216216,0.675675676,0.635135135
359954,7,0.72972973,0.72972973,0.689189189,0.689189189,0.648648649,0.594594595
359954,8,0.675675676,0.675675676,0.72972973,0.716216216,0.675675676,0.675675676
359954,9,0.675675676,0.648648649,0.702702703,0.72972973,0.662162162,0.689189189
359954,10,0.675675676,0.621621622,0.743243243,0.675675676,0.689189189,0.716216216
359954,11,0.689189189,0.756756757,0.675675676,0.72972973,0.689189189,0.648648649
359954,12,0.675675676,0.662162162,0.702702703,0.635135135,0.675675676,0.648648649
359954,13,0.648648649,0.662162162,0.743243243,0.662162162,0.662162162,0.648648649
359954,14,0.716216216,0.72972973,0.675675676,0.635135135,0.689189189,0.675675676
359959,0,0.601351351,0.601351351,0.540540541,0.594594595,0.587837838,0.581081081
359959,1,0.594594595,0.608108108,0.506756757,0.567567568,0.567567568,0.587837838
359959,2,0.574324324,0.581081081,0.587837838,0.614864865,0.581081081,0.513513514
359959,3,0.581081081,0.574324324,0.560810811,0.554054054,0.587837838,0.601351351
359959,4,0.540540541,0.574324324,0.581081081,0.587837838,0.601351351,0.574324324
359959,5,0.581081081,0.581081081,0.614864865,0.581081081,0.614864865,0.574324324
359959,6,0.567567568,0.581081081,0.587837838,0.587837838,0.581081081,0.594594595
359959,7,0.587837838,0.533783784,0.621621622,0.560810811,0.547297297,0.547297297
359959,8,0.554054054,0.574324324,0.601351351,0.594594595,0.581081081,0.581081081
359959,9,0.608108108,0.567567568,0.587837838,0.581081081,0.587837838,0.547297297
359959,10,0.547297297,0.567567568,0.601351351,0.587837838,0.574324324,0.587837838
359959,11,0.587837838,0.608108108,0.581081081,0.540540541,0.608108108,0.574324324
359959,12,0.628378378,0.594594595,0.601351351,0.540540541,0.587837838,0.594594595
359959,13,0.533783784,0.533783784,0.581081081,0.574324324,0.567567568,0.554054054
359959,14,0.574324324,0.5,0.506756757,0.567567568,0.587837838,0.574324324
