task id,run #,random linear,random constrained
2073,10,0.6711409395973155,0.7114093959731543
359959,1,0.5675675675675675,0.5878378378378378
190146,0,0.8705882352941177,0.8588235294117647
359959,7,0.5472972972972973,0.5472972972972973
190146,6,0.8823529411764706,0.8705882352941177
359954,13,0.6621621621621622,0.6486486486486487
359954,5,0.6756756756756757,0.6351351351351351
359959,12,0.5878378378378378,0.5945945945945946
190146,7,0.8705882352941177,0.8705882352941177
359959,14,0.5878378378378378,0.5743243243243243
190146,2,0.8588235294117647,0.8705882352941177
359959,2,0.581081081081081,0.5135135135135135
359959,8,0.581081081081081,0.581081081081081
168784,14,0.8307692307692308,0.8307692307692308
190146,12,0.8705882352941177,0.8705882352941177
190146,10,0.8705882352941177,0.8705882352941177
359954,11,0.6891891891891891,0.6486486486486487
359954,9,0.6621621621621622,0.6891891891891891
2073,2,0.7315436241610739,0.6644295302013423
359959,0,0.5878378378378378,0.581081081081081
359954,12,0.6756756756756757,0.6486486486486487
168784,13,0.8051282051282052,0.8256410256410256
168784,2,0.7897435897435897,0.4615384615384615
190146,3,0.8588235294117647,0.8705882352941177
2073,5,0.7181208053691275,0.697986577181208
168784,8,0.8102564102564103,0.8307692307692308
190146,13,0.8588235294117647,0.8588235294117647
2073,14,0.7046979865771812,0.6912751677852349
359954,3,0.6486486486486487,0.6486486486486487
359959,4,0.6013513513513513,0.5743243243243243
190146,11,0.8588235294117647,0.8588235294117647
168784,4,0.8256410256410256,0.8102564102564103
359954,1,0.6486486486486487,0.6756756756756757
359954,6,0.6891891891891891,0.6351351351351351
359959,10,0.5743243243243243,0.5878378378378378
190146,9,0.8470588235294118,0.8705882352941177
2073,9,0.7248322147651006,0.6577181208053692
359954,14,0.6891891891891891,0.6756756756756757
2073,11,0.7046979865771812,0.6778523489932886
168784,9,0.8358974358974359,0.8102564102564103
359959,5,0.6148648648648649,0.5743243243243243
2073,6,0.6778523489932886,0.7114093959731543
168784,5,0.8102564102564103,0.8307692307692308
359954,0,0.6351351351351351,0.6756756756756757
168784,1,0.8153846153846154,0.8102564102564103
359959,6,0.581081081081081,0.5945945945945946
359959,3,0.5878378378378378,0.6013513513513513
168784,12,0.8153846153846154,0.8512820512820513
359954,10,0.6891891891891891,0.7162162162162162
2073,13,0.6912751677852349,0.697986577181208
190146,1,0.8705882352941177,0.8705882352941177
359954,8,0.6756756756756757,0.6756756756756757
359954,7,0.6486486486486487,0.5945945945945946
359959,9,0.5878378378378378,0.5472972972972973
2073,12,0.6912751677852349,0.7046979865771812
190146,8,0.8588235294117647,0.8705882352941177
2073,7,0.7114093959731543,0.6778523489932886
359954,4,0.7162162162162162,0.6216216216216216
168784,0,0.7846153846153846,0.8153846153846154
2073,8,0.697986577181208,0.7181208053691275
168784,11,0.841025641025641,0.8153846153846154
359959,13,0.5675675675675675,0.5540540540540541
168784,6,0.8102564102564103,0.8358974358974359
2073,0,0.6912751677852349,0.7181208053691275
168784,10,0.8153846153846154,0.841025641025641
359959,11,0.6081081081081081,0.5743243243243243
190146,14,0.8588235294117647,0.8588235294117647
190146,4,0.8941176470588236,0.8588235294117647
168784,3,0.8051282051282052,0.8153846153846154
2073,4,0.6912751677852349,0.6778523489932886
2073,1,0.697986577181208,0.6912751677852349
2073,3,0.6778523489932886,0.697986577181208
168784,7,0.8358974358974359,0.8461538461538461
359954,2,0.6756756756756757,0.6891891891891891
190146,5,0.8588235294117647,0.8588235294117647
